"Модуль","Код","Документ","Статус покрытия","checkId","Проверки","Ожидаемые поля","Требований Gemma/manual"
"Модуль 2","2.7.1.","Резюме биофармацевтических исследований и связанных с ними аналитических методов","script/hybrid + Gemma","file_format_check; ocr_quality_check; expected_extracted_fields_check; npa_imported_requirement_check; core_field_consistency_check","Формат файла; Статус OCR/извлечения; Обязательные извлечённые поля документа; Требования НПА к документу; Согласованность ключевых полей","textContent; textLength","3"
"Модуль 2","2.7.2.","Резюме исследований по клинической фармакологии","script/hybrid + Gemma","file_format_check; ocr_quality_check; expected_extracted_fields_check; npa_imported_requirement_check; core_field_consistency_check","Формат файла; Статус OCR/извлечения; Обязательные извлечённые поля документа; Требования НПА к документу; Согласованность ключевых полей","textContent; textLength","4"
"Модуль 2","2.7.3.","Резюме по клинической эффективности","base parser/OCR + Gemma/manual","file_format_check; ocr_quality_check; expected_extracted_fields_check; npa_imported_requirement_check","Формат файла; Статус OCR/извлечения; Обязательные извлечённые поля документа; Требования НПА к документу","textContent; textLength","2"
"Модуль 2","2.7.4.","Резюме по клинической безопасности","script/hybrid + Gemma","file_format_check; ocr_quality_check; expected_extracted_fields_check; npa_imported_requirement_check; core_field_consistency_check","Формат файла; Статус OCR/извлечения; Обязательные извлечённые поля документа; Требования НПА к документу; Согласованность ключевых полей","textContent; textLength","3"
"Модуль 2","2.7.6.","Короткие обзоры индивидуальных исследований","script/hybrid + Gemma","file_format_check; ocr_quality_check; expected_extracted_fields_check; npa_imported_requirement_check; core_field_consistency_check","Формат файла; Статус OCR/извлечения; Обязательные извлечённые поля документа; Требования НПА к документу; Согласованность ключевых полей","textContent; textLength","2"
"Модуль 3","3.1.","содержание модуля 3","base parser/OCR + Gemma/manual","file_format_check; ocr_quality_check; expected_extracted_fields_check; npa_imported_requirement_check","Формат файла; Статус OCR/извлечения; Обязательные извлечённые поля документа; Требования НПА к документу","textContent; textLength","1"
"Модуль 3","3.2.S.1.1.","сведения о наименовании активной фармацевтической субстанции","script/hybrid + Gemma","file_format_check; ocr_quality_check; expected_extracted_fields_check; npa_imported_requirement_check; module3_content_check; core_field_consistency_check","Формат файла; Статус OCR/извлечения; Обязательные извлечённые поля документа; Требования НПА к документу; Модуль 3 / качество; Согласованность ключевых полей","textContent; textLength; hasSpecification; hasValidation; hasStability","2"
"Модуль 3","3.2.S.1.2.","сведения о структуре активной фармацевтической субстанции","script/hybrid + Gemma","file_format_check; ocr_quality_check; expected_extracted_fields_check; npa_imported_requirement_check; module3_content_check; core_field_consistency_check","Формат файла; Статус OCR/извлечения; Обязательные извлечённые поля документа; Требования НПА к документу; Модуль 3 / качество; Согласованность ключевых полей","textContent; textLength; hasSpecification; hasValidation; hasStability","2"
"Модуль 3","3.2.S.1.3.","сведения об общих свойствах активной фармацевтической субстанции","script/hybrid + Gemma","file_format_check; ocr_quality_check; expected_extracted_fields_check; npa_imported_requirement_check; module3_content_check; core_field_consistency_check","Формат файла; Статус OCR/извлечения; Обязательные извлечённые поля документа; Требования НПА к документу; Модуль 3 / качество; Согласованность ключевых полей","textContent; textLength; hasSpecification; hasValidation; hasStability","2"
"Модуль 3","3.2.S.2.1.","сведения о производителе активной фармацевтической субстанции","script/hybrid + Gemma","file_format_check; ocr_quality_check; expected_extracted_fields_check; npa_imported_requirement_check; module3_content_check; core_field_consistency_check","Формат файла; Статус OCR/извлечения; Обязательные извлечённые поля документа; Требования НПА к документу; Модуль 3 / качество; Согласованность ключевых полей","textContent; textLength; hasSpecification; hasValidation; hasStability","3"
"Модуль 3","3.2.S.2.2.","описание производственного процесса активной фармацевтической субстанции и его контроля","script/hybrid + Gemma","file_format_check; ocr_quality_check; expected_extracted_fields_check; npa_imported_requirement_check; module3_content_check; core_field_consistency_check","Формат файла; Статус OCR/извлечения; Обязательные извлечённые поля документа; Требования НПА к документу; Модуль 3 / качество; Согласованность ключевых полей","textContent; textLength; hasSpecification; hasValidation; hasStability","3"
"Модуль 3","3.2.S.2.3.","сведения о контроле исходных материалов активной фармацевтической субстанции","script/hybrid + Gemma","file_format_check; ocr_quality_check; expected_extracted_fields_check; npa_imported_requirement_check; module3_content_check; core_field_consistency_check","Формат файла; Статус OCR/извлечения; Обязательные извлечённые поля документа; Требования НПА к документу; Модуль 3 / качество; Согласованность ключевых полей","textContent; textLength; hasSpecification; hasValidation; hasStability","4"
"Модуль 3","3.2.S.2.4.","сведения о контроле критических стадий и промежуточной продукции при производстве фармацевтической субстанции","script/hybrid + Gemma","file_format_check; ocr_quality_check; expected_extracted_fields_check; npa_imported_requirement_check; module3_content_check; core_field_consistency_check","Формат файла; Статус OCR/извлечения; Обязательные извлечённые поля документа; Требования НПА к документу; Модуль 3 / качество; Согласованность ключевых полей","textContent; textLength; hasSpecification; hasValidation; hasStability","2"
"Модуль 3","3.2.S.2.5.","сведения о валидации производственного процесса активной фармацевтической субстанции и (или) его оценка; сведения об оценке производственного процесса активной фармацевтической субстанции;","script/hybrid + Gemma","file_format_check; ocr_quality_check; expected_extracted_fields_check; npa_imported_requirement_check; module3_content_check; core_field_consistency_check; sterility_validation_check","Формат файла; Статус OCR/извлечения; Обязательные извлечённые поля документа; Требования НПА к документу; Модуль 3 / качество; Согласованность ключевых полей; Стерильность","textContent; textLength; hasSpecification; hasValidation; hasStability","3"
"Модуль 3","3.2.S.2.6.","описание разработки производственного процесса активной фармацевтической субстанции","script/hybrid + Gemma","file_format_check; ocr_quality_check; expected_extracted_fields_check; npa_imported_requirement_check; module3_content_check; core_field_consistency_check","Формат файла; Статус OCR/извлечения; Обязательные извлечённые поля документа; Требования НПА к документу; Модуль 3 / качество; Согласованность ключевых полей","textContent; textLength; hasSpecification; hasValidation; hasStability","6"
"Модуль 3","3.2.S.3.1","сведения о подтверждении структуры и других характеристик активной фармацевтической субстанции","script/hybrid + Gemma","file_format_check; ocr_quality_check; expected_extracted_fields_check; npa_imported_requirement_check; module3_content_check; core_field_consistency_check","Формат файла; Статус OCR/извлечения; Обязательные извлечённые поля документа; Требования НПА к документу; Модуль 3 / качество; Согласованность ключевых полей","textContent; textLength; hasSpecification; hasValidation; hasStability","2"
"Модуль 3","3.2.S.3.2.","Сводные данные по фактическому и потенциальному наличию примесей, которые могут образоваться в процессе синтеза, очистки и хранения новой активной фармацевтической субстанции (результаты достоверной научной оценки химических реакций, происходящих одновременно с реакциями синтеза активной фармацевтической субстанции; примеси, имеющие отношение к исходным материалам, которые могут способствовать загрязнению профиля примесей новой активной фармацевтической субстанции; возможные продуктов деградации). Сводные данные о лабораторных исследованиях, проводимых в целях обнаружения примесей в новой активной фармацевтической субстанции (результаты испытаний серий лекарственных средств, произведенных в процессе разработки, и серий из предлагаемого промышленного процесса производства, а также результаты стрессового исследования, применяемого для идентификации потенциальных примесей, образующихся во время хранения). Исследования, проведенные для установления структуры фактических примесей, присутствующих в новой активной фармацевтической субстанции, на уровне выше (больше) порога идентификации.","script/hybrid + Gemma","file_format_check; ocr_quality_check; expected_extracted_fields_check; npa_imported_requirement_check; module3_content_check; core_field_consistency_check","Формат файла; Статус OCR/извлечения; Обязательные извлечённые поля документа; Требования НПА к документу; Модуль 3 / качество; Согласованность ключевых полей","textContent; textLength; hasSpecification; hasValidation; hasStability","3"
"Модуль 3","3.2.S.4.1.","спецификация активной фармацевтической субстанции","script/hybrid + Gemma","file_format_check; ocr_quality_check; expected_extracted_fields_check; npa_imported_requirement_check; module3_content_check; core_field_consistency_check","Формат файла; Статус OCR/извлечения; Обязательные извлечённые поля документа; Требования НПА к документу; Модуль 3 / качество; Согласованность ключевых полей","textContent; textLength; hasSpecification; hasValidation; hasStability","2"
"Модуль 3","3.2.S.4.2.","аналитическая методика для контроля качества активной фармацевтической субстанции","script/hybrid + Gemma","file_format_check; ocr_quality_check; expected_extracted_fields_check; npa_imported_requirement_check; module3_content_check; core_field_consistency_check","Формат файла; Статус OCR/извлечения; Обязательные извлечённые поля документа; Требования НПА к документу; Модуль 3 / качество; Согласованность ключевых полей","textContent; textLength; hasSpecification; hasValidation; hasStability","3"
"Модуль 3","3.2.S.4.3","протокол валидации аналитической методики для активной фармацевтической субстанции","script/hybrid + Gemma","file_format_check; ocr_quality_check; expected_extracted_fields_check; npa_imported_requirement_check; module3_content_check; core_field_consistency_check; sterility_validation_check","Формат файла; Статус OCR/извлечения; Обязательные извлечённые поля документа; Требования НПА к документу; Модуль 3 / качество; Согласованность ключевых полей; Стерильность","textContent; textLength; hasSpecification; hasValidation; hasStability","4"
"Модуль 3","3.2.S.4.4.","результаты анализа 3 серий активной фармацевтической субстанции","script/hybrid + Gemma","file_format_check; ocr_quality_check; expected_extracted_fields_check; npa_imported_requirement_check; module3_content_check; core_field_consistency_check","Формат файла; Статус OCR/извлечения; Обязательные извлечённые поля документа; Требования НПА к документу; Модуль 3 / качество; Согласованность ключевых полей","textContent; textLength; hasSpecification; hasValidation; hasStability","3"
"Модуль 3","3.2.S.4.5.","обоснование спецификации активной фармацевтической субстанции","script/hybrid + Gemma","file_format_check; ocr_quality_check; expected_extracted_fields_check; npa_imported_requirement_check; module3_content_check; core_field_consistency_check","Формат файла; Статус OCR/извлечения; Обязательные извлечённые поля документа; Требования НПА к документу; Модуль 3 / качество; Согласованность ключевых полей","textContent; textLength; hasSpecification; hasValidation; hasStability","3"
"Модуль 3","3.2.S.5.","описание стандартных образцов или материалов активной фармацевтической субстанции, паспорта качества/сертификаты качества на стандартные образцы","script/hybrid + Gemma","file_format_check; ocr_quality_check; expected_extracted_fields_check; npa_imported_requirement_check; module3_content_check; core_field_consistency_check","Формат файла; Статус OCR/извлечения; Обязательные извлечённые поля документа; Требования НПА к документу; Модуль 3 / качество; Согласованность ключевых полей","textContent; textLength; hasSpecification; hasValidation; hasStability","3"
"Модуль 3","3.2.S.6.","описание системы упаковки (укупорки) активной фармацевтической субстанции, спецификацию качества/сертификаты анализа на упаковочные материалы","script/hybrid + Gemma","file_format_check; ocr_quality_check; expected_extracted_fields_check; npa_imported_requirement_check; core_field_consistency_check; storage_consistency_check; module3_content_check","Формат файла; Статус OCR/извлечения; Обязательные извлечённые поля документа; Требования НПА к документу; Согласованность ключевых полей; Условия хранения; Модуль 3 / качество","textContent; textLength; hasSpecification; hasValidation; hasStability","4"
"Модуль 3","3.2.S.7.1.","резюме испытаний стабильности активной фармацевтической субстанции; заключение о стабильности активной фармацевтической субстанции;","script/hybrid + Gemma","file_format_check; ocr_quality_check; expected_extracted_fields_check; npa_imported_requirement_check; module3_content_check; core_field_consistency_check; shelf_life_consistency_check; document_expiry_check","Формат файла; Статус OCR/извлечения; Обязательные извлечённые поля документа; Требования НПА к документу; Модуль 3 / качество; Согласованность ключевых полей; Срок годности; Срок действия документа","textContent; textLength; validUntil; issueDate; hasSpecification; hasValidation; hasStability","4"
"Модуль 3","3.2.S.7.2.","программа пострегистрационных испытаний стабильности активной фармацевтической субстанции; обязательства относительно стабильности активной фармацевтической субстанции;","script/hybrid + Gemma","file_format_check; ocr_quality_check; expected_extracted_fields_check; npa_imported_requirement_check; module3_content_check; core_field_consistency_check; shelf_life_consistency_check","Формат файла; Статус OCR/извлечения; Обязательные извлечённые поля документа; Требования НПА к документу; Модуль 3 / качество; Согласованность ключевых полей; Срок годности","textContent; textLength; hasSpecification; hasValidation; hasStability","3"
"Модуль 3","3.2.S.7.3.","данные испытаний стабильности активной фармацевтической субстанции","script/hybrid + Gemma","file_format_check; ocr_quality_check; expected_extracted_fields_check; npa_imported_requirement_check; module3_content_check; core_field_consistency_check; shelf_life_consistency_check; sterility_validation_check","Формат файла; Статус OCR/извлечения; Обязательные извлечённые поля документа; Требования НПА к документу; Модуль 3 / качество; Согласованность ключевых полей; Срок годности; Стерильность","textContent; textLength; hasSpecification; hasValidation; hasStability","7"
"Модуль 3","3.2.Р.1.","Описание и состав лекарственного препарата в соответствии с фарразработкой","script/hybrid + Gemma","file_format_check; ocr_quality_check; expected_extracted_fields_check; npa_imported_requirement_check; required_sections_check; docx_format_check; core_field_consistency_check; shelf_life_consistency_check; storage_consistency_check; translation_length_check; module3_content_check","Формат файла; Статус OCR/извлечения; Обязательные извлечённые поля документа; Требования НПА к документу; Обязательные разделы ОХЛП/инструкции; Оформление DOCX; Согласованность ключевых полей; Срок годности; Условия хранения; Полнота перевода RU/KZ; Модуль 3 / качество","textContent; textLength; tradeName; inn; dosage; dosageForm; shelfLife; storage; fonts; sizes; colors; hasSpecification; hasValidation; hasStability","3"
"Модуль 3","3.2.Р.2.","сведения о разработке лекарственной формы","script/hybrid + Gemma","file_format_check; ocr_quality_check; expected_extracted_fields_check; npa_imported_requirement_check; module3_content_check; core_field_consistency_check; translation_length_check","Формат файла; Статус OCR/извлечения; Обязательные извлечённые поля документа; Требования НПА к документу; Модуль 3 / качество; Согласованность ключевых полей; Полнота перевода RU/KZ","textContent; textLength; hasSpecification; hasValidation; hasStability","5"
"Модуль 3","3.2.Р.2.1.1.","описание активной фармацевтической субстанции в составе лекарственного препарата","script/hybrid + Gemma","file_format_check; ocr_quality_check; expected_extracted_fields_check; npa_imported_requirement_check; required_sections_check; docx_format_check; core_field_consistency_check; shelf_life_consistency_check; storage_consistency_check; translation_length_check; module3_content_check","Формат файла; Статус OCR/извлечения; Обязательные извлечённые поля документа; Требования НПА к документу; Обязательные разделы ОХЛП/инструкции; Оформление DOCX; Согласованность ключевых полей; Срок годности; Условия хранения; Полнота перевода RU/KZ; Модуль 3 / качество","textContent; textLength; tradeName; inn; dosage; dosageForm; shelfLife; storage; fonts; sizes; colors; hasSpecification; hasValidation; hasStability","2"
"Модуль 3","3.2.Р.2.1.2.","описание вспомогательных веществ в составе лекарственного препарата","script/hybrid + Gemma","file_format_check; ocr_quality_check; expected_extracted_fields_check; npa_imported_requirement_check; required_sections_check; docx_format_check; core_field_consistency_check; shelf_life_consistency_check; storage_consistency_check; translation_length_check; module3_content_check","Формат файла; Статус OCR/извлечения; Обязательные извлечённые поля документа; Требования НПА к документу; Обязательные разделы ОХЛП/инструкции; Оформление DOCX; Согласованность ключевых полей; Срок годности; Условия хранения; Полнота перевода RU/KZ; Модуль 3 / качество","textContent; textLength; tradeName; inn; dosage; dosageForm; shelfLife; storage; fonts; sizes; colors; hasSpecification; hasValidation; hasStability","2"
"Модуль 3","3.2.Р.2.2.1.","сведения о разработке лекарственной формы","script/hybrid + Gemma","file_format_check; ocr_quality_check; expected_extracted_fields_check; npa_imported_requirement_check; required_sections_check; docx_format_check; core_field_consistency_check; shelf_life_consistency_check; storage_consistency_check; translation_length_check; bioequivalence_report_check; module3_content_check","Формат файла; Статус OCR/извлечения; Обязательные извлечённые поля документа; Требования НПА к документу; Обязательные разделы ОХЛП/инструкции; Оформление DOCX; Согласованность ключевых полей; Срок годности; Условия хранения; Полнота перевода RU/KZ; Отчет биоэквивалентности; Модуль 3 / качество","textContent; textLength; tradeName; inn; dosage; dosageForm; shelfLife; storage; fonts; sizes; colors; referenceProduct; conclusion; hasSpecification; hasValidation; hasStability","5"
"Модуль 3","3.2.Р.2.2.2.","сведения о производственных избытках лекарственного препарата","script/hybrid + Gemma","file_format_check; ocr_quality_check; expected_extracted_fields_check; npa_imported_requirement_check; module3_content_check; core_field_consistency_check","Формат файла; Статус OCR/извлечения; Обязательные извлечённые поля документа; Требования НПА к документу; Модуль 3 / качество; Согласованность ключевых полей","textContent; textLength; hasSpecification; hasValidation; hasStability","2"
"Модуль 3","3.2.Р.2.2.3.","сведения о физико-химических и биологических свойствах лекарственного препарата","script/hybrid + Gemma","file_format_check; ocr_quality_check; expected_extracted_fields_check; npa_imported_requirement_check; module3_content_check; core_field_consistency_check","Формат файла; Статус OCR/извлечения; Обязательные извлечённые поля документа; Требования НПА к документу; Модуль 3 / качество; Согласованность ключевых полей","textContent; textLength; hasSpecification; hasValidation; hasStability","3"
"Модуль 3","3.2.Р.2.3.","Сведения о разработке производственного процесса для лекарственного препарата","script/hybrid + Gemma","file_format_check; ocr_quality_check; expected_extracted_fields_check; npa_imported_requirement_check; module3_content_check; core_field_consistency_check","Формат файла; Статус OCR/извлечения; Обязательные извлечённые поля документа; Требования НПА к документу; Модуль 3 / качество; Согласованность ключевых полей","textContent; textLength; hasSpecification; hasValidation; hasStability","5"
"Модуль 3","3.2.Р.2.4.","описание системы упаковки (укупорки)","script/hybrid + Gemma","file_format_check; ocr_quality_check; expected_extracted_fields_check; npa_imported_requirement_check; core_field_consistency_check; storage_consistency_check; module3_content_check","Формат файла; Статус OCR/извлечения; Обязательные извлечённые поля документа; Требования НПА к документу; Согласованность ключевых полей; Условия хранения; Модуль 3 / качество","textContent; textLength; hasSpecification; hasValidation; hasStability","3"
"Модуль 3","3.2.Р.2.5.","микробиологические характеристики лекарственного препарата","script/hybrid + Gemma","file_format_check; ocr_quality_check; expected_extracted_fields_check; npa_imported_requirement_check; module3_content_check; core_field_consistency_check","Формат файла; Статус OCR/извлечения; Обязательные извлечённые поля документа; Требования НПА к документу; Модуль 3 / качество; Согласованность ключевых полей","textContent; textLength; hasSpecification; hasValidation; hasStability","1"
"Модуль 3","3.2.Р.2.6.","сведения о совместимости лекарственного препарата","script/hybrid + Gemma","file_format_check; ocr_quality_check; expected_extracted_fields_check; npa_imported_requirement_check; required_sections_check; docx_format_check; core_field_consistency_check; shelf_life_consistency_check; storage_consistency_check; translation_length_check; module3_content_check","Формат файла; Статус OCR/извлечения; Обязательные извлечённые поля документа; Требования НПА к документу; Обязательные разделы ОХЛП/инструкции; Оформление DOCX; Согласованность ключевых полей; Срок годности; Условия хранения; Полнота перевода RU/KZ; Модуль 3 / качество","textContent; textLength; tradeName; inn; dosage; dosageForm; shelfLife; storage; fonts; sizes; colors; hasSpecification; hasValidation; hasStability","6"
"Модуль 3","3.2.Р.3.1.","1. Сведения о производителях лекарственного препарата с указанием названия этапа производства 2. В случае, если был трансфер технологий, то копию договора трансфера технологий/трансфера аналитических методик","script/hybrid + Gemma","file_format_check; ocr_quality_check; expected_extracted_fields_check; npa_imported_requirement_check; module3_content_check; core_field_consistency_check","Формат файла; Статус OCR/извлечения; Обязательные извлечённые поля документа; Требования НПА к документу; Модуль 3 / качество; Согласованность ключевых полей","textContent; textLength; hasSpecification; hasValidation; hasStability","4"
"Модуль 3","3.2.Р.3.2.","состав на серию (производственная рецептура) лекарственного препарата","script/hybrid + Gemma","file_format_check; ocr_quality_check; expected_extracted_fields_check; npa_imported_requirement_check; required_sections_check; docx_format_check; core_field_consistency_check; shelf_life_consistency_check; storage_consistency_check; translation_length_check; module3_content_check","Формат файла; Статус OCR/извлечения; Обязательные извлечённые поля документа; Требования НПА к документу; Обязательные разделы ОХЛП/инструкции; Оформление DOCX; Согласованность ключевых полей; Срок годности; Условия хранения; Полнота перевода RU/KZ; Модуль 3 / качество","textContent; textLength; tradeName; inn; dosage; dosageForm; shelfLife; storage; fonts; sizes; colors; hasSpecification; hasValidation; hasStability","4"
"Модуль 3","3.2.Р.3.3.","описание производственного процесса лекарственного препарата и его контроля","script/hybrid + Gemma","file_format_check; ocr_quality_check; expected_extracted_fields_check; npa_imported_requirement_check; module3_content_check; core_field_consistency_check","Формат файла; Статус OCR/извлечения; Обязательные извлечённые поля документа; Требования НПА к документу; Модуль 3 / качество; Согласованность ключевых полей","textContent; textLength; hasSpecification; hasValidation; hasStability","3"
"Модуль 3","3.2.Р.3.4.","сведения о контроле критических стадий и промежуточной продукции при производстве лекарственного препарата","script/hybrid + Gemma","file_format_check; ocr_quality_check; expected_extracted_fields_check; npa_imported_requirement_check; module3_content_check; core_field_consistency_check","Формат файла; Статус OCR/извлечения; Обязательные извлечённые поля документа; Требования НПА к документу; Модуль 3 / качество; Согласованность ключевых полей","textContent; textLength; hasSpecification; hasValidation; hasStability","3"
"Модуль 3","3.2.Р.3.5.","отчет о валидации производственного процесса лекарственного препарата; оценка производственного процесса лекарственного препарата;","script/hybrid + Gemma","file_format_check; ocr_quality_check; expected_extracted_fields_check; npa_imported_requirement_check; module3_content_check; core_field_consistency_check; sterility_validation_check","Формат файла; Статус OCR/извлечения; Обязательные извлечённые поля документа; Требования НПА к документу; Модуль 3 / качество; Согласованность ключевых полей; Стерильность","textContent; textLength; hasSpecification; hasValidation; hasStability","4"
"Модуль 3","3.2.Р.4.","Контроль вспомогательных веществ","script/hybrid + Gemma","file_format_check; ocr_quality_check; expected_extracted_fields_check; npa_imported_requirement_check; module3_content_check; core_field_consistency_check","Формат файла; Статус OCR/извлечения; Обязательные извлечённые поля документа; Требования НПА к документу; Модуль 3 / качество; Согласованность ключевых полей","textContent; textLength; hasSpecification; hasValidation; hasStability","2"
"Модуль 3","3.2.Р.4.1.","спецификация качества/ сертификаты анализа вспомогательных веществ лекарственного препарата","script/hybrid + Gemma","file_format_check; ocr_quality_check; expected_extracted_fields_check; npa_imported_requirement_check; module3_content_check; core_field_consistency_check","Формат файла; Статус OCR/извлечения; Обязательные извлечённые поля документа; Требования НПА к документу; Модуль 3 / качество; Согласованность ключевых полей","textContent; textLength; hasSpecification; hasValidation; hasStability","2"
"Модуль 3","3.2.Р.4.2.","аналитическая методика, относящаяся к исследованию вспомогательных веществ","script/hybrid + Gemma","file_format_check; ocr_quality_check; expected_extracted_fields_check; npa_imported_requirement_check; module3_content_check; core_field_consistency_check","Формат файла; Статус OCR/извлечения; Обязательные извлечённые поля документа; Требования НПА к документу; Модуль 3 / качество; Согласованность ключевых полей","textContent; textLength; hasSpecification; hasValidation; hasStability","2"
"Модуль 3","3.2.Р.4.3.","протокол валидации аналитической методики, относящейся к исследованию вспомогательных веществ","script/hybrid + Gemma","file_format_check; ocr_quality_check; expected_extracted_fields_check; npa_imported_requirement_check; module3_content_check; core_field_consistency_check; sterility_validation_check","Формат файла; Статус OCR/извлечения; Обязательные извлечённые поля документа; Требования НПА к документу; Модуль 3 / качество; Согласованность ключевых полей; Стерильность","textContent; textLength; hasSpecification; hasValidation; hasStability","3"
"Модуль 3","3.2.Р.4.4.","обоснование спецификации вспомогательных веществ лекарственного препарата","script/hybrid + Gemma","file_format_check; ocr_quality_check; expected_extracted_fields_check; npa_imported_requirement_check; module3_content_check; core_field_consistency_check","Формат файла; Статус OCR/извлечения; Обязательные извлечённые поля документа; Требования НПА к документу; Модуль 3 / качество; Согласованность ключевых полей","textContent; textLength; hasSpecification; hasValidation; hasStability","2"
"Модуль 3","3.2.Р.4.5.","сведения о вспомогательных веществах человеческого и животного происхождения в составе лекарственного препарата","script/hybrid + Gemma","file_format_check; ocr_quality_check; expected_extracted_fields_check; npa_imported_requirement_check; required_sections_check; docx_format_check; core_field_consistency_check; shelf_life_consistency_check; storage_consistency_check; translation_length_check; module3_content_check","Формат файла; Статус OCR/извлечения; Обязательные извлечённые поля документа; Требования НПА к документу; Обязательные разделы ОХЛП/инструкции; Оформление DOCX; Согласованность ключевых полей; Срок годности; Условия хранения; Полнота перевода RU/KZ; Модуль 3 / качество","textContent; textLength; tradeName; inn; dosage; dosageForm; shelfLife; storage; fonts; sizes; colors; hasSpecification; hasValidation; hasStability","3"
"Модуль 3","3.2.Р.4.6.","сведения о новых вспомогательных веществах в составе лекарственного препарата Для вспомогательных веществ, которые используются впервые в лекарственном препарате или применяются при новом для этих вспомогательных веществ пути введения, необходимо представлять полное описание производства, свойств и контроля, со ссылкой на подтвержденные доклинические и клинические данные по безопасности. Эта информация должна быть оформлена так, как указано выше для активной фармацевтической субстанции. Необходимо представить подробную химическую, фармацевтическую и биологическую информацию. Эта информация должна быть оформлена так, как указано в Модуле 3 относительно активной фармацевтической субстанции. Информация о новом вспомогательном веществе может быть представлена в виде отдельного документа, составленного согласно вышеописанному формату. Если заявитель и производитель нового вспомогательного вещества не являются одним и тем же лицом, такой отдельный документ должен представляться производителем заявителю.","script/hybrid + Gemma","file_format_check; ocr_quality_check; expected_extracted_fields_check; npa_imported_requirement_check; required_sections_check; docx_format_check; core_field_consistency_check; shelf_life_consistency_check; storage_consistency_check; translation_length_check; module3_content_check","Формат файла; Статус OCR/извлечения; Обязательные извлечённые поля документа; Требования НПА к документу; Обязательные разделы ОХЛП/инструкции; Оформление DOCX; Согласованность ключевых полей; Срок годности; Условия хранения; Полнота перевода RU/KZ; Модуль 3 / качество","textContent; textLength; tradeName; inn; dosage; dosageForm; shelfLife; storage; fonts; sizes; colors; hasSpecification; hasValidation; hasStability","8"
"Модуль 3","3.2.Р.5.1","Спецификация качества на готовый препарат","script/hybrid + Gemma","file_format_check; ocr_quality_check; expected_extracted_fields_check; npa_imported_requirement_check; module3_content_check; core_field_consistency_check; document_expiry_check","Формат файла; Статус OCR/извлечения; Обязательные извлечённые поля документа; Требования НПА к документу; Модуль 3 / качество; Согласованность ключевых полей; Срок действия документа","textContent; textLength; validUntil; issueDate; hasSpecification; hasValidation; hasStability","5"
"Модуль 3","3.2.Р.5.2.","Подробное описание аналитических методик контроля качества лекарственного препарата Проект нормативного документа по контролю качества в электронном виде в формате docx и pdf","script/hybrid + Gemma","file_format_check; ocr_quality_check; expected_extracted_fields_check; npa_imported_requirement_check; module3_content_check; core_field_consistency_check; docx_format_check","Формат файла; Статус OCR/извлечения; Обязательные извлечённые поля документа; Требования НПА к документу; Модуль 3 / качество; Согласованность ключевых полей; Оформление DOCX","textContent; textLength; hasSpecification; hasValidation; hasStability","6"
"Модуль 3","3.2.Р.5.3.","Протокол и отчет валидации/верификации аналитической методики контроля качества лекарственного препарата","script/hybrid + Gemma","file_format_check; ocr_quality_check; expected_extracted_fields_check; npa_imported_requirement_check; module3_content_check; core_field_consistency_check; sterility_validation_check","Формат файла; Статус OCR/извлечения; Обязательные извлечённые поля документа; Требования НПА к документу; Модуль 3 / качество; Согласованность ключевых полей; Стерильность","textContent; textLength; hasSpecification; hasValidation; hasStability","3"
"Модуль 3","3.2.Р.5.4.","сведения о результатах анализа 3 серий лекарственного препарата","script/hybrid + Gemma","file_format_check; ocr_quality_check; expected_extracted_fields_check; npa_imported_requirement_check; module3_content_check; core_field_consistency_check","Формат файла; Статус OCR/извлечения; Обязательные извлечённые поля документа; Требования НПА к документу; Модуль 3 / качество; Согласованность ключевых полей","textContent; textLength; hasSpecification; hasValidation; hasStability","3"
"Модуль 3","3.2.Р.5.5.","характеристика примесей лекарственного препарата","script/hybrid + Gemma","file_format_check; ocr_quality_check; expected_extracted_fields_check; npa_imported_requirement_check; module3_content_check; core_field_consistency_check","Формат файла; Статус OCR/извлечения; Обязательные извлечённые поля документа; Требования НПА к документу; Модуль 3 / качество; Согласованность ключевых полей","textContent; textLength; hasSpecification; hasValidation; hasStability","1"
"Модуль 3","3.2.Р.5.6.","обоснование спецификации лекарственного препарата","script/hybrid + Gemma","file_format_check; ocr_quality_check; expected_extracted_fields_check; npa_imported_requirement_check; module3_content_check; core_field_consistency_check","Формат файла; Статус OCR/извлечения; Обязательные извлечённые поля документа; Требования НПА к документу; Модуль 3 / качество; Согласованность ключевых полей","textContent; textLength; hasSpecification; hasValidation; hasStability","4"
"Модуль 3","3.2.Р.6.","описание стандартных материалов и образцов, используемые при контроле качества лекарственного препарата, если информация о них не указана в разделе, касающемся активной фармацевтической субстанции. Сертификаты на СО В случае не фармакопейных СО – полные отчеты стандартизации СО с первичными данными и материалами.","script/hybrid + Gemma","file_format_check; ocr_quality_check; expected_extracted_fields_check; npa_imported_requirement_check; module3_content_check; core_field_consistency_check","Формат файла; Статус OCR/извлечения; Обязательные извлечённые поля документа; Требования НПА к документу; Модуль 3 / качество; Согласованность ключевых полей","textContent; textLength; hasSpecification; hasValidation; hasStability","2"
